[10.12 - 06:45] Player кирилл  ебалов (STEAM_2:1:620776024  ///  176.50.168.77) conencted.
[10.12 - 19:20] Player mirolunata (STEAM_1:0:603964278  ///  151.237.37.93) conencted.
[10.12 - 19:20] Player +-->Kllier`Boss<--+ (STEAM_1:1:1316058917  ///  199.250.150.40) conencted.
[10.12 - 19:20] Player Shooooooter (STEAM_1:0:701963888  ///  168.211.83.214) conencted.
[10.12 - 19:20] Player Hunnnnter (STEAM_1:1:1449545443  ///  168.211.83.214) conencted.
[10.12 - 19:23] Player CS.SECTOR.BG Player (STEAM_1:1:1289710602  ///  93.155.192.142) conencted.
[10.12 - 19:25] Player FBI (STEAM_2:1:171909349  ///  46.191.233.155) conencted.
[10.12 - 19:32] Player XxXgeorgiXxX :) (STEAM_1:1:1289710602  ///  93.155.192.142) conencted.
[10.12 - 19:32] Player mirolunata (STEAM_1:0:603964278  ///  151.237.37.93) conencted.
[10.12 - 19:32] Player +-->Kllier`Boss<--+ (STEAM_1:1:1316058917  ///  199.250.150.40) conencted.
[10.12 - 19:39] Player 2Pacalypse (VALVE_ID_LAN  ///  130.185.211.206) conencted.
[10.12 - 19:40] Player +-->Kllier`Boss<--+ (STEAM_1:1:1316058917  ///  199.250.150.40) conencted.
[10.12 - 19:50] Player mirolunata (STEAM_1:0:603964278  ///  151.237.37.93) conencted.
[10.12 - 19:51] Player +-->Kllier`Boss<--+ (STEAM_1:1:1316058917  ///  199.250.150.40) conencted.
[10.12 - 20:07] Player LEOPARD (STEAM_1:0:681183515  ///  151.237.37.93) conencted.
[10.12 - 20:24] Player jesse_pinkman (STEAM_1:0:1973059967  ///  91.148.164.81) conencted.
[10.12 - 20:29] Player BAD BOY (STEAM_1:1:175462098  ///  178.169.239.222) conencted.
[10.12 - 20:38] Player DEIVID321 (VALVE_ID_LAN  ///  109.120.207.234) conencted.
[10.12 - 20:40] Player BAD BOY (STEAM_1:1:175462098  ///  178.169.239.222) conencted.
[10.12 - 20:55] Player DEIVID321 (VALVE_ID_LAN  ///  109.120.207.234) conencted.
[10.12 - 20:55] Player <Warrior> Player (STEAM_2:1:1685369291  ///  109.120.207.234) conencted.
[10.12 - 21:17] Player Ludia :D (STEAM_1:0:186885685  ///  77.76.16.213) conencted.
[10.12 - 21:19] Player Ludia :D (STEAM_1:0:186885685  ///  77.76.16.213) conencted.
[10.12 - 21:56] Player XxXgeorgiXxX :) (STEAM_1:1:1289710602  ///  93.155.192.142) conencted.
[10.12 - 22:01] Player -_Vladimir_- (STEAM_2:1:317308962  ///  94.41.165.24) conencted.
[10.12 - 22:20] Player LEO (STEAM_1:0:603964278  ///  151.237.37.93) conencted.
